Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
30.00000000000004,-4.514206025022925,4.546047103321557,158.6091821082098
31.66701392371036,-5.724489590704646,5.755792789452131,160.2866950946516
33.42665902814878,-6.916365874141745,6.950059804471142,161.6160083347103
35.28408256225016,-8.061489502466459,8.095674981871211,162.7249298991226
37.24471779280397,-9.163142646529492,9.199887156720457,163.6882773876284
39.31429989764615,-10.23895829693065,10.27621277076053,164.5279682658985
41.49888274198946,-11.28933407311289,11.32683542337859,165.2302284461485
43.80485658696669,-12.31582909271622,12.35509659437814,165.8698465807292
46.23896678218694,-13.31812818283642,13.35770027684325,166.3970801774577
48.80833349698303,-14.30373887766444,14.34213317511659,166.9222949705382
51.52047254806855,-15.26502784305146,15.30391023646957,167.3488604055664
54.38331738452741,-16.22868683637623,16.26724107772326,167.650619399481
57.40524229444617,-17.18559976566326,17.22647443091819,167.975993264508
60.59508690107304,-18.12583333232691,18.16783122568854,168.2532797873006
63.96218202015721,-19.08380650645312,19.12547076410631,168.4840091860133
67.516376954107,-20.00057188870338,20.04220957263187,168.6763307126831
71.26806830280604,-20.94104464675684,20.98270212762479,168.8599177604358
75.22823037536314,-21.85548918998398,21.89614836690084,168.9796120190896
79.40844729175708,-22.7600466697946,22.80084663107209,169.0570529202227
83.82094686827628,-23.6932360580791,23.73323580650228,169.3892915012251
88.47863638587616,-24.62607557692466,24.66458118975071,169.3254347610055
93.39514034608143,-25.51261627798256,25.55191210464056,169.3452908620355
98.58484032487466,-26.46900467445882,26.51000887058764,169.4260282693187
104.062917041152,-27.34713063215323,27.38718913514802,169.4468490217224
109.8453947628024,-28.33457207539755,28.37327085212443,169.7245753331525
115.9491881803039,-29.21765924384142,29.25588673776329,169.6363372650447
122.392151884953,-30.08052458828786,30.11937425785748,169.5641552899049
129.1931325964556,-31.04920928040304,31.08723231148222,169.6992631009279
136.3720242926571,-31.96742062977728,32.00483895928036,170.2023285626481
143.9498264026712,-32.88124850687144,32.9177895679542,169.79521031091
151.9487052336355,-33.8773507485644,33.91435047622232,169.7263830942921
160.3920588107764,-34.83753211349675,34.87276386461934,170.307458874081
169.3045853204473,-35.83964830479204,35.87451423414231,170.207921358581
178.7123553563534,-36.6213653592658,36.6539493876186,171.1865831301021
188.6428881802903,-37.51890787514802,37.54984994329283,171.4357986144383
199.1252322204727,-38.48890912296404,38.52168097971558,172.300056252506
210.1900500429251,-39.37441826317215,39.4053819664398,171.7643597486773
221.8697080444892,-40.25737645905566,40.28635809418542,172.6677220128847
234.1983711298128,-41.31071426755124,41.33808998982773,173.9745182479741
247.2121026492684,-42.33991737332002,42.36413325332155,176.4775824816566
260.9489698901359,-43.1303721781217,43.15237854421365,175.8674435477805
275.4491554296266,-44.20808771874451,44.22813246135748,177.5811483517349
290.7550746754741,-45.40873928555678,45.43000092872907,177.8671648924011
306.9114999379221,-45.9923487189586,46.00758959615692,-176.5025345806532
323.9656913960333,-47.33791037707486,47.35058540779611,-172.2318980881815
341.9675353414208,-48.32339903729056,48.33344901078754,-171.728818007199
360.9696901037888,-48.89442826377984,48.90044633294884,-166.4490775432225
381.0277400851359,-50.5225218591011,50.52621517623201,-158.5086153988456
402.2003583531958,-50.47568895868036,50.47391099239881,-151.1756495225978
424.5494782697306,-51.18812923939642,51.1815271810101,-147.0636093895359
448.1404746557166,-52.17883238148204,52.16383643097956,-136.7104599597834
